f00011,f00012,f1434506,f1322610,f1322606,f1332110,f1332106,f1476310,f1416806,f0679510,f0679506
02,198,45728,40756,0,17.2,0,38.6,0,0,0
02,201,0,0,42667,0,15.4,0,25.5,14.8,14.5
02,220,62024,58000,54050,9.1,8.2,30.3,22.5,6.4,5.4
02,230,73500,58550,0,4.2,0,25.8,0,13.5,0
02,232,0,0,45027,0,13.7,0,28.2,0,13
02,240,59596,54508,50477,13.4,14.3,32.2,33.5,10.8,11
02,261,60383,60297,56508,9,10.1,28.5,28.6,8.9,8.6
02,270,37955,30883,29608,34.1,32.5,40.7,15.7,20.3,20.7
02,275,50389,42752,0,13.1,0,28.9,0,0,0
02,280,0,0,54054,0,9.9,0,26.2,10.6,9.7
02,282,65750,49331,47723,14.7,14.2,33.6,27.2,11,10
02,290,33712,35177,31093,27.1,24.1,42,25.9,15,13.1
04,001,30184,30651,27600,34.5,34.5,25.6,12,17.1,10
04,003,44876,43677,38825,17.7,18,19.5,21.4,8.8,4.5
04,005,49510,43051,43683,23.8,16.8,24.8,22.5,9.7,4.4
04,007,37580,37430,35716,19.8,20,21.5,17.9,11.8,5.2
04,009,41683,39299,34618,21.6,23.4,22.3,19.3,14.3,4.9
04,011,48696,49592,46728,12.7,10.9,17.5,15.2,11.5,3.7
04,012,32147,33818,29534,23.7,21,28.3,24.6,10.6,5.8
04,013,55054,50424,52522,16.6,12.5,22.1,25.5,9.6,3.5
04,015,39785,36446,36320,18.7,16,22.6,23.6,12,4.3
04,017,39774,37723,35824,27.8,24.4,24,15.6,16,7.3
04,019,45521,44293,43002,17.8,15.3,20.7,23.5,9.4,4
04,021,51310,49833,43627,14.4,15.2,21.2,21.8,11.7,5
04,023,36519,33952,34620,28,21.8,28.5,27.7,17.2,7.7
04,025,43290,40562,40923,18.3,12.4,21.6,27.5,11,3.9
04,027,40340,40609,37154,21.1,19,29.2,24.5,26.3,14.7
05,001,37230,38129,33926,18.6,20.1,23.9,20.8,16.9,7.8
05,003,34934,37042,33595,19.4,19.5,25.1,20.5,10.2,7.7
05,005,35606,34421,33474,15.7,14.5,26.9,27.6,8.9,5.4
05,007,50434,52417,46447,10.2,10.5,24.8,25.4,6.4,3.4
05,009,36977,35532,35968,16,14.9,27.1,23.8,7.4,4.9
05,011,29908,31047,28478,28.5,26.1,34.6,29.6,9.8,7.3
05,013,32450,36955,33385,15.6,18.1,26.4,26.6,9.1,7
05,015,34235,33789,30763,16.4,18.6,35.9,39.4,6.6,4.5
05,017,21676,27321,23599,30.7,33.4,27.2,24,11.5,8.8
05,019,31968,33433,32491,22.2,24.5,26,27.9,7.7,5.6
